trade_amount,uni_slippage,cex_slippage
-5000000,-62.62,-22.65
-4975000,-62.33,-22.65
-4925000,-61.67,-22.65
-4875000,-61.07,-22.65
-4825000,-60.4,-22.65
-4775000,-59.8,-22.65
-4725000,-59.14,-22.65
-4675000,-58.54,-22.65
-4625000,-57.87,-22.65
-4575000,-57.27,-22.65
-4525000,-56.61,-22.65
-4475000,-56.01,-22.65
-4425000,-55.35,-22.65
-4375000,-54.75,-22.65
-4325000,-54.08,-22.65
-4275000,-53.49,-22.65
-4225000,-52.82,-22.65
-4175000,-52.23,-22.65
-4125000,-51.56,-22.65
-4075000,-50.97,-22.65
-4025000,-50.31,-22.65
-3975000,-49.71,-22.65
-3925000,-49.05,-22.65
-3875000,-48.45,-22.65
-3825000,-47.79,-22.65
-3775000,-47.2,-22.65
-3725000,-46.53,-22.65
-3675000,-45.94,-22.65
-3625000,-45.28,-22.65
-3575000,-44.68,-22.65
-3525000,-44.02,-22.65
-3475000,-43.43,-22.65
-3425000,-42.77,-22.65
-3375000,-42.17,-22.65
-3325000,-41.52,-22.65
-3275000,-40.92,-22.65
-3225000,-40.26,-22.65
-3175000,-39.66,-22.65
-3125000,-39.01,-22.65
-3075000,-38.41,-22.5
-3025000,-37.76,-21.46
-2975000,-37.16,-21.46
-2925000,-36.51,-19.31
-2875000,-35.9,-19.31
-2825000,-35.25,-19.31
-2775000,-34.65,-19.31
-2725000,-34,-18.79
-2675000,-33.4,-18.57
-2625000,-32.75,-16.95
-2575000,-32.14,-16.95
-2525000,-31.5,-16.95
-2475000,-30.89,-16.11
-2425000,-30.25,-15.72
-2375000,-29.64,-15.27
-2325000,-29,-14.74
-2275000,-28.38,-13.62
-2225000,-27.74,-13.62
-2175000,-27.13,-12.92
-2125000,-26.49,-12.35
-2075000,-25.88,-12.35
-2025000,-25.24,-11.84
-1975000,-24.62,-11.24
-1925000,-23.99,-10.77
-1875000,-23.37,-10.45
-1825000,-22.73,-9.51
-1775000,-22.11,-9.51
-1725000,-21.48,-9.11
-1675000,-20.85,-8.65
-1625000,-20.22,-8.12
-1575000,-19.6,-7.72
-1525000,-18.97,-7.35
-1475000,-18.34,-6.96
-1425000,-17.71,-6.56
-1375000,-17.08,-6.23
-1325000,-16.45,-5.94
-1275000,-15.82,-5.64
-1225000,-15.19,-5.35
-1175000,-14.56,-5
-1125000,-13.93,-4.74
-1075000,-13.3,-4.43
-1025000,-12.67,-4.23
-975000,-12.04,-4
-925000,-11.41,-3.73
-875000,-10.78,-3.6
-825000,-10.15,-3.42
-775000,-9.52,-3.25
-725000,-8.89,-2.41
-675000,-8.25,-2.41
-625000,-7.62,-2.41
-575000,-6.99,-2.41
-525000,-6.36,-2
-475000,-5.72,-1.71
-425000,-5.09,-1.36
-375000,-4.45,-1
-325000,-3.82,-0.41
-275000,-3.18,-0.27
-225000,-2.55,-0.12
-175000,-1.91,-0.05
-125000,-1.27,-0.05
-75000,-0.64,0
-25000,0,0
25000,0,0
75000,0.67,0.96
125000,1.34,1.8
175000,2.02,2.14
225000,2.69,2.38
275000,3.37,2.96
325000,4.03,3.16
375000,4.72,3.51
425000,5.37,3.78
475000,6.07,4.09
525000,6.72,4.39
575000,7.42,4.72
625000,8.06,5.08
675000,8.78,5.38
725000,9.4,5.76
775000,10.13,6.05
825000,10.75,6.43
875000,11.49,6.86
925000,12.09,7.23
975000,12.85,7.68
1025000,13.44,8.14
1075000,14.21,8.66
1125000,14.79,8.84
1175000,15.58,9.58
1225000,16.14,9.93
1275000,16.94,10.09
1325000,17.5,10.59
1375000,18.31,10.59
1425000,18.85,11.92
1475000,19.68,12.13
1525000,20.21,12.77
1575000,21.05,13.38
1625000,21.57,13.92
1675000,22.42,13.92
1725000,22.93,15.13
1775000,23.8,15.36
1825000,24.3,15.36
1875000,25.17,16.42
1925000,25.67,16.42
1975000,26.55,17.63
2025000,27.03,17.63
2075000,27.93,17.63
2125000,28.4,17.63
2175000,29.31,17.63
2225000,29.78,17.63
2275000,30.69,17.63
2325000,31.15,17.63
2375000,32.08,17.63
2425000,32.53,17.63
2475000,33.46,17.63
2525000,33.9,17.63
2575000,34.85,17.63
2625000,35.28,23.33
2675000,36.24,23.69
2725000,36.66,23.69
2775000,37.63,23.69
2825000,38.04,24.68
2875000,39.02,24.68
2925000,39.42,24.68
2975000,40.42,24.68
3025000,40.81,24.68
3075000,41.82,24.68
3125000,42.2,26.94
3175000,43.22,26.94
3225000,43.59,26.94
3275000,44.62,26.94
3325000,44.99,26.94
3375000,46.03,26.94
3425000,46.39,26.94
3475000,47.44,26.94
3525000,47.79,26.94
3575000,48.86,26.94
3625000,49.19,26.94
3675000,50.27,26.94
3725000,50.6,26.94
3775000,51.69,26.94
3825000,52.01,26.94
3875000,53.12,26.94
3925000,53.43,26.94
3975000,54.55,26.94
4025000,54.85,26.94
4075000,55.98,26.94
4125000,56.27,26.94
4175000,57.41,26.94
4225000,57.7,26.94
4275000,58.84,26.94
4325000,59.12,26.94
4375000,60.28,26.94
4425000,60.55,26.94
4475000,61.72,26.94
4525000,61.99,26.94
4575000,63.17,26.94
4625000,63.42,26.94
4675000,64.62,26.94
4725000,64.86,26.94
4775000,66.07,26.94
4825000,66.3,26.94
4875000,67.52,26.94
4925000,67.75,26.94
4975000,68.97,26.94
5000000,68.83,26.94
