trade_amount,uni_model_slippage,cex_model_slippage
-5000000.0,-67.80317974044802,-36.54141090816633
-4975000.0,-67.45437550050788,-36.40987637879301
-4925000.0,-66.75684126789152,-36.14641916235066
-4875000.0,-66.05940729195423,-35.882437813441946
-4825000.0,-65.36207511912228,-35.61792424749636
-4775000.0,-64.66484633599066,-35.35287016994477
-4725000.0,-63.96772257079932,-35.08726706850248
-4675000.0,-63.27070549497959,-34.82110620508369
-4625000.0,-62.573796824775606,-34.55437860732603
-4575000.0,-61.87699832294452,-34.28707505970127
-4525000.0,-61.18031180054072,-34.019186094187916
-4475000.0,-60.48373911878893,-33.75070198047846
-4425000.0,-59.78728219105189,-33.48161271569306
-4375000.0,-59.09094298489819,-33.21190801356841
-4325000.0,-58.39472352427698,-32.941577293089225
-4275000.0,-57.698625891806024,-32.67060966652627
-4225000.0,-57.002652231180505,-32.398993926843175
-4175000.0,-56.30680474971061,-32.12671853443034
-4125000.0,-55.611085720996265,-31.853771603121782
-4075000.0,-54.915497487748155,-31.580140885446866
-4025000.0,-54.220042464765086,-31.305813757065092
-3975000.0,-53.524723142078265,-31.03077720032802
-3925000.0,-52.8295420882742,-30.75501778690768
-3875000.0,-52.13450195400859,-30.478521659425834
-3825000.0,-51.4396054757251,-30.20127451201307
-3775000.0,-50.74485547959349,-29.923261569720324
-3725000.0,-50.05025488568334,-29.644467566699127
-3675000.0,-49.35580671239074,-29.36487672305924
-3625000.0,-48.66151408113697,-29.084472720304458
-3575000.0,-47.96738022135991,-28.80323867523816
-3525000.0,-47.273408475820595,-28.521157112220706
-3475000.0,-46.579602306249924,-28.23820993364936
-3425000.0,-45.88596529936221,-27.954378388519793
-3375000.0,-45.192501173265384,-27.669643038914284
-3325000.0,-44.49921378430013,-27.383983724247333
-3275000.0,-43.806107134343655,-27.097379523082157
-3225000.0,-43.11318537861728,-26.809808712313504
-3175000.0,-42.42045283404087,-26.521248723491208
-3125000.0,-41.727913988181875,-26.23167609603581
-3075000.0,-41.03557350885127,-25.94106642707157
-3025000.0,-40.343436254404715,-25.649394317573137
-2975000.0,-39.6515072848132,-25.356633314489205
-2925000.0,-38.959791873574666,-25.062755848469678
-2875000.0,-38.26829552054604,-24.76773316678113
-2825000.0,-37.57702396578404,-24.47153526094816
-2775000.0,-36.885983204493556,-24.174130788604856
-2725000.0,-36.195179503193735,-23.875486988979862
-2675000.0,-35.504619417225406,-23.57556959136936
-2625000.0,-34.8143098097383,-23.27434271587363
-2575000.0,-34.12425787231392,-22.971768765582507
-2525000.0,-33.43447114739973,-22.667808309291825
-2475000.0,-32.74495755275279,-22.36241995371414
-2425000.0,-32.05572540811749,-22.055560204010064
-2375000.0,-31.366783464392096,-21.74718331130851
-2325000.0,-30.678140935573815,-21.43724110570078
-2275000.0,-29.989807533813014,-21.125682812980454
-2225000.0,-29.30179350795457,-20.812454853152627
-2175000.0,-28.614109686000102,-20.49750061844579
-2125000.0,-27.926767521989632,-20.180760228218514
-2075000.0,-27.23977914787851,-19.862170257752005
-2025000.0,-26.553157431075753,-19.541663437445035
-1975000.0,-25.866916038417852,-19.219168318364943
-1925000.0,-25.18106950748022,-18.894608899437966
-1875000.0,-24.495633326282043,-18.567904210760066
-1825000.0,-23.810624022624285,-18.23896784654596
-1775000.0,-23.126059264523516,-17.907707440070737
-1725000.0,-22.4419579734737,-17.574024071547825
-1675000.0,-21.75834045259732,-17.237811598167024
-1625000.0,-21.07522853215038,-16.898955893408026
-1575000.0,-20.392645735343038,-16.5573339801459
-1525000.0,-19.710617468054078,-16.21281303884153
-1475000.0,-19.02917123678724,-15.865249268086668
-1425000.0,-18.34833690018431,-15.514486569717004
-1375000.0,-17.668146960634417,-15.160355024306481
-1325000.0,-16.988636904080227,-14.80266911469234
-1275000.0,-16.309845598130458,-14.441225644680577
-1225000.0,-15.63181576119363,-14.075801286458866
-1175000.0,-14.954594518761137,-13.706149672401063
-1125000.0,-14.278234067483504,-13.331997923339234
-1075000.0,-13.602792473724454,-12.953042473798183
-1025000.0,-12.928334641454768,-12.568944011937733
-975000.0,-12.254933495560216,-12.179321293330226
-925000.0,-11.582671442229733,-11.783743506189014
-875000.0,-10.911642190106075,-11.381720750564416
-825000.0,-10.241953047498608,-10.972692028731878
-775000.0,-9.57372785721602,-10.556009902163208
-725000.0,-8.907110799670113,-10.130920609258538
-675000.0,-8.24227140051385,-9.69653788588669
-625000.0,-7.579411244758337,-9.251807864614632
-575000.0,-6.9187731669976165,-8.795461029078611
-525000.0,-6.260654134670563,-8.325944861505674
-475000.0,-5.605423818396219,-7.841326758751238
-425000.0,-4.9535522564259935,-7.33914940515114
-375000.0,-4.305652732329504,-6.81620661202251
-325000.0,-3.662551542489348,-6.268178579778608
-275000.0,-3.025408678938803,-5.689000979431063
-225000.0,-2.3959438817698766,-5.069683171912328
-175000.0,-1.7769085599157222,-4.395841050716915
-125000.0,-1.1732399140192928,-3.6416633963523277
-75000.0,-0.5957209350861589,-2.7507777484391127
-25000.0,-0.08141367222825069,-1.5294272083519593
25000.0,0.08141367222825069,1.5294272083519593
75000.0,0.5957209350861589,2.7507777484391127
125000.0,1.1732399140192928,3.6416633963523277
175000.0,1.7769085599157222,4.395841050716915
225000.0,2.3959438817698766,5.069683171912328
275000.0,3.025408678938803,5.689000979431063
325000.0,3.662551542489348,6.268178579778608
375000.0,4.305652732329504,6.81620661202251
425000.0,4.9535522564259935,7.33914940515114
475000.0,5.605423818396219,7.841326758751238
525000.0,6.260654134670563,8.325944861505674
575000.0,6.9187731669976165,8.795461029078611
625000.0,7.579411244758337,9.251807864614632
675000.0,8.24227140051385,9.69653788588669
725000.0,8.907110799670113,10.130920609258538
775000.0,9.57372785721602,10.556009902163208
825000.0,10.241953047498608,10.972692028731878
875000.0,10.911642190106075,11.381720750564416
925000.0,11.582671442229733,11.783743506189014
975000.0,12.254933495560216,12.179321293330226
1025000.0,12.928334641454768,12.568944011937733
1075000.0,13.602792473724454,12.953042473798183
1125000.0,14.278234067483504,13.331997923339234
1175000.0,14.954594518761137,13.706149672401063
1225000.0,15.63181576119363,14.075801286458866
1275000.0,16.309845598130458,14.441225644680577
1325000.0,16.988636904080227,14.80266911469234
1375000.0,17.668146960634417,15.160355024306481
1425000.0,18.34833690018431,15.514486569717004
1475000.0,19.02917123678724,15.865249268086668
1525000.0,19.710617468054078,16.21281303884153
1575000.0,20.392645735343038,16.5573339801459
1625000.0,21.07522853215038,16.898955893408026
1675000.0,21.75834045259732,17.237811598167024
1725000.0,22.4419579734737,17.574024071547825
1775000.0,23.126059264523516,17.907707440070737
1825000.0,23.810624022624285,18.23896784654596
1875000.0,24.495633326282043,18.567904210760066
1925000.0,25.18106950748022,18.894608899437966
1975000.0,25.866916038417852,19.219168318364943
2025000.0,26.553157431075753,19.541663437445035
2075000.0,27.23977914787851,19.862170257752005
2125000.0,27.926767521989632,20.180760228218514
2175000.0,28.614109686000102,20.49750061844579
2225000.0,29.30179350795457,20.812454853152627
2275000.0,29.989807533813014,21.125682812980454
2325000.0,30.678140935573815,21.43724110570078
2375000.0,31.366783464392096,21.74718331130851
2425000.0,32.05572540811749,22.055560204010064
2475000.0,32.74495755275279,22.36241995371414
2525000.0,33.43447114739973,22.667808309291825
2575000.0,34.12425787231392,22.971768765582507
2625000.0,34.8143098097383,23.27434271587363
2675000.0,35.504619417225406,23.57556959136936
2725000.0,36.195179503193735,23.875486988979862
2775000.0,36.885983204493556,24.174130788604856
2825000.0,37.57702396578404,24.47153526094816
2875000.0,38.26829552054604,24.76773316678113
2925000.0,38.959791873574666,25.062755848469678
2975000.0,39.6515072848132,25.356633314489205
3025000.0,40.343436254404715,25.649394317573137
3075000.0,41.03557350885127,25.94106642707157
3125000.0,41.727913988181875,26.23167609603581
3175000.0,42.42045283404087,26.521248723491208
3225000.0,43.11318537861728,26.809808712313504
3275000.0,43.806107134343655,27.097379523082157
3325000.0,44.49921378430013,27.383983724247333
3375000.0,45.192501173265384,27.669643038914284
3425000.0,45.88596529936221,27.954378388519793
3475000.0,46.579602306249924,28.23820993364936
3525000.0,47.273408475820595,28.521157112220706
3575000.0,47.96738022135991,28.80323867523816
3625000.0,48.66151408113697,29.084472720304458
3675000.0,49.35580671239074,29.36487672305924
3725000.0,50.05025488568334,29.644467566699127
3775000.0,50.74485547959349,29.923261569720324
3825000.0,51.4396054757251,30.20127451201307
3875000.0,52.13450195400859,30.478521659425834
3925000.0,52.8295420882742,30.75501778690768
3975000.0,53.524723142078265,31.03077720032802
4025000.0,54.220042464765086,31.305813757065092
4075000.0,54.915497487748155,31.580140885446866
4125000.0,55.611085720996265,31.853771603121782
4175000.0,56.30680474971061,32.12671853443034
4225000.0,57.002652231180505,32.398993926843175
4275000.0,57.698625891806024,32.67060966652627
4325000.0,58.39472352427698,32.941577293089225
4375000.0,59.09094298489819,33.21190801356841
4425000.0,59.78728219105189,33.48161271569306
4475000.0,60.48373911878893,33.75070198047846
4525000.0,61.18031180054072,34.019186094187916
4575000.0,61.87699832294452,34.28707505970127
4625000.0,62.573796824775606,34.55437860732603
4675000.0,63.27070549497959,34.82110620508369
4725000.0,63.96772257079932,35.08726706850248
4775000.0,64.66484633599066,35.35287016994477
4825000.0,65.36207511912228,35.61792424749636
4875000.0,66.05940729195423,35.882437813441946
4925000.0,66.75684126789152,36.14641916235066
4975000.0,67.45437550050788,36.40987637879301
5000000.0,67.80317974044802,36.54141090816633
